"# Generated by MacroFab for PCB 7n6gav, version 1.",,,,,,,,,,,,,,,
# DESIGNATOR,X_LOC,Y_LOC,ROTATION,SIDE,TYPE,X_SIZE,Y_SIZE,VALUE,FOOTPRINT,POPULATE,MPN,MPN1,MPN2,MPN3,
C1,780,1555,90,1,1,62.99,23.62,.1u,C0402,1,,,,,
C2,1040,1225,0,1,1,62.99,23.62,.1u,C0402,1,,,,,
C3,680,1530,90,1,1,149.61,62.99,33u,CP1206,1,,,,,TAJA336K010RNJ
C4,1005,405,270,1,1,62.99,23.62,22p,C0402,1,,,,,
C5,1065,1295,0,1,1,102.36,51.18,10u,C0805,1,,,,,LMK212B7106KG-TD
C6,745,850,270,1,1,62.99,23.62,.1u,C0402,1,,,,,
C7,1005,505,90,1,1,62.99,23.62,22p,C0402,1,,,,,
CON1,180,1686.1,270,1,2,192.91,55.12,CON2,PHOENIX_2_45,1,,,,,1988956
CON2,180,536.1,270,1,2,192.91,55.12,CON2,PHOENIX_2_45,1,,,,,1988956
CON3,2380,636.69,90,1,2,468.5,55.12,CON4,PHOENIX_4_45,1,,,,,1988972
CON4,2380,1586.69,90,1,2,468.5,55.12,CON4,PHOENIX_4_45,1,,,,,1988972
D1,2205,1180,270,1,1,90.55,31.5,,LED0603,1,,,,,150060BS75000
D2,230,330,180,1,1,90.55,31.5,,LED0603,1,,,,,150060BS75000
D3,230,255,180,1,1,90.55,31.5,,LED0603,1,,,,,150060BS75000
D4,230,180,180,1,1,90.55,31.5,,LED0603,1,,,,,150060BS75000
D5,230,105,180,1,1,90.55,31.5,,LED0603,1,,,,,150060BS75000
JP1,1195,2005,0,2,2,935,35,ARDUINO_JP1,ARDUINO_JP1,1,,,,,68002-210HLF
JP2,2155,2005,0,2,2,735,35,ARDUINO_JP2,ARDUINO_JP2,1,,,,,68000-208HLF
JP3,2555,1105,0,2,2,135,235,ARDUINO_JP3,ARDUINO_JP3,1,,,,,68683-303LF
JP4,2255,105,0,2,2,535,35,ARDUINO_JP4,ARDUINO_JP4,1,,,,,68000-206HLF
JP5,1455,105,0,2,2,735,35,ARDUINO_JP5,ARDUINO_JP5,1,,,,,68000-208HLF
JP6,180,855,270,1,2,36,136,,JP1,1,,,,,77311-118-02LF
Q1,1660,1389.33,180,1,1,57.48,66.93,RE1C002UN,EMT3F,1,,,,,RE1C002UNTCL
R1,2205,1030,270,1,1,62.99,23.62,1k,R0402,1,,,,,
R10,1380,1140,180,1,1,62.99,23.62,DNP,R0402,0,,,,,
R11,1410,980,90,1,1,62.99,23.62,10k,R0402,1,,,,,
R12,1360,980,270,1,1,62.99,23.62,DNP,R0402,0,,,,,
R13,380,855,180,1,1,62.99,23.62,120,R0402,1,,,,,ERJ-2RKF1200X
R14,380,780,180,1,1,62.99,23.62,47k,R0402,1,,,,,ERJ-2RKF4702X
R15,1830,505,270,1,1,62.99,23.62,0,R0402,1,,,,,
R16,1880,505,270,1,1,62.99,23.62,0,R0402,1,,,,,
R17,1830,355,270,1,1,62.99,23.62,DNP,R0402,0,,,,,
R18,1880,355,270,1,1,62.99,23.62,DNP,R0402,0,,,,,
R19,1935,505,270,1,1,62.99,23.62,0,R0402,1,,,,,
R2,1725,755,270,1,1,62.99,23.62,10k,R0402,1,,,,,
R20,1985,505,270,1,1,62.99,23.62,0,R0402,1,,,,,
R21,1935,355,270,1,1,62.99,23.62,DNP,R0402,0,,,,,
R22,1985,355,270,1,1,62.99,23.62,DNP,R0402,0,,,,,
R3,1380,1190,180,1,1,62.99,23.62,0,R0402,1,,,,,
R4,105,330,180,1,1,62.99,23.62,1k,R0402,1,,,,,
R5,105,255,180,1,1,62.99,23.62,1k,R0402,1,,,,,
R6,105,180,180,1,1,62.99,23.62,1k,R0402,1,,,,,
R7,105,105,180,1,1,62.99,23.62,1k,R0402,1,,,,,
R8,780,1455,270,1,1,62.99,23.62,0.3,R0402,1,,,,,ERJ-2BQFR30X
R9,1310,980,270,1,1,62.99,23.62,10k,R0402,1,,,,,
RELAY1,1781.06,1115,0,1,1,443.31,405.12,RELAY_DPDT,KEMET_EE2,1,,,,,EE2-5NU-L
TP1,640,320,0,1,1,45,45,,TP_4545,0,,,,,
TP2,2355,1090,0,1,1,45,45,,TP_4545,0,,,,,
TP3,75,2040,0,1,1,45,45,,TP_4545,0,,,,,
U$1,2295,1365,0,2,1,0,0,POLYSYNC,POLYSYNC,0,,,,,
U1,575,845,90,1,1,173.62,267.72,MCP2551,SOIC8-6.0,1,,,,,MCP2551-I/SN
U2,1455,580,270,1,1,430,457,MCP2515,SOIC18,1,,,,,MCP2515-I/SO
U4,1144.84,1590,270,1,1,421.26,653.54,TL750M,TO-263,1,,,,,TL750M05CKTTR
U5,1125,1085,0,1,1,289.37,171.26,MCP4922T,TSSOP-14,1,,,,,MCP4922T-E/ST
X1,870,340,90,1,1,590,76,16MHz,HC49UP,1,,,,,ABLS-16.000MHZ-D-4-T
